Token Number,Rates,length,index_in_dataset,occurrence_number,device
14684,[0.371428571.],9732,48,2,cpu
6968,[0.371428571.],4845,188,2,cpu
5689,[0.371428571.],3876,27,2,cpu
12243,[0.485714286.],8524,118,2,disk
11762,[0.371428571.],8097,173,2,cpu
23412,[0.371428571.],16415,135,2,cpu
16407,[0.485714286.],11879,3,2,cpu
7069,[0.371428571.],4835,33,2,cpu
13118,[0.371428571.],8987,89,2,cpu
10538,[0.371428571.],7199,50,2,cpu
16403,[0.485714286.],12070,30,2,cpu
13005,[0.371428571.],8720,20,2,cpu
19685,[0.371428571.],13534,74,2,cpu
16426,[0.485714286.],11862,157,2,cpu
15719,[0.371428571.],11055,94,2,cpu
11284,[0.485714286.],7697,90,2,disk
13832,[0.485714286.],9574,45,2,disk
7021,[0.485714286.],4400,181,2,disk
6248,[0.485714286.],4109,16,2,disk
13279,[0.485714286.],8571,116,2,disk
16033,[0.485714286.],11879,110,2,cpu
14550,[0.485714286.],10994,101,2,disk
16436,[0.485714286.],11201,108,2,cpu
12074,[0.371428571.],8305,39,2,cpu
16432,[0.485714286.],12021,137,2,cpu
14065,[0.485714286.],10290,18,2,disk
16432,[0.485714286.],12372,60,2,cpu
16683,[0.371428571.],11718,18,2,cpu
13356,[0.485714286.],10058,177,2,disk
0,[],1267,7,2,
16922,[0.371428571.],12173,147,2,cpu
16551,[0.371428571.],11625,92,2,cpu
19869,[0.371428571.],14333,155,2,cpu
16373,[0.485714286.],11780,176,2,cpu
13314,[0.371428571.],9233,2,2,cpu
12366,[0.485714286.],8723,153,2,disk
5734,[0.485714286.],4029,75,2,disk
8879,[0.485714286.],6415,79,2,disk
13433,[0.485714286.],9594,63,2,disk
8253,[0.371428571.],5566,97,2,cpu
0,[],2808,167,2,
19813,[0.371428571.],13654,120,2,cpu
16454,[0.485714286.],11685,194,2,cpu
11694,[0.485714286.],8291,131,2,disk
16940,[0.371428571.],12264,117,2,cpu
11207,[0.371428571.],7858,45,2,cpu
16210,[0.485714286.],11587,119,2,cpu
13156,[0.485714286.],9116,66,2,disk
14171,[0.371428571.],9271,149,2,cpu
10073,[0.371428571.],7091,91,2,cpu
15290,[0.371428571.],10506,81,2,cpu
16282,[0.485714286.],12082,145,2,cpu
5971,[0.485714286.],4002,155,2,disk
4953,[0.485714286.],3530,132,2,disk
16175,[0.485714286.],11577,180,2,cpu
4265,[0.485714286.],2641,84,2,disk
12700,[0.371428571.],9032,29,2,cpu
17118,[0.371428571.],12096,198,2,cpu
6565,[0.485714286.],4660,175,2,disk
22660,[0.371428571.],16633,151,2,cpu
11459,[0.485714286.],8030,109,2,disk
14068,[0.371428571.],9763,75,2,cpu
16404,[0.485714286.],11993,111,2,cpu
16346,[0.485714286.],12697,17,2,cpu
21143,[0.371428571.],14698,187,2,cpu
0,[],2518,111,2,
19355,[0.371428571.],13494,105,2,cpu
11088,[0.371428571.],7650,107,2,cpu
18165,[0.371428571.],12898,85,2,cpu
0,[],2496,165,2,
14274,[0.485714286.],10483,24,2,disk
14232,[0.485714286.],10424,196,2,disk
16443,[0.485714286.],11449,139,2,cpu
18590,[0.371428571.],12187,58,2,cpu
0,[],1506,65,2,
16793,[0.371428571.],11347,116,2,cpu
0,[],2459,186,2,
8971,[0.485714286.],6055,103,2,disk
11768,[0.485714286.],8698,182,2,disk
15598,[0.485714286.],11091,36,2,cpu
16453,[0.485714286.],11899,69,2,cpu
12767,[0.485714286.],9331,68,2,disk
10902,[0.485714286.],8113,192,2,disk
11408,[0.371428571.],8312,163,2,cpu
4728,[0.485714286.],3353,86,2,disk
15877,[0.485714286.],9438,6,2,cpu
16174,[0.485714286.],12479,81,2,cpu
16317,[0.485714286.],12090,10,2,cpu
16938,[0.371428571.],12290,19,2,cpu
12809,[0.485714286.],9588,97,2,disk
16374,[0.371428571.],11458,126,2,cpu
18898,[0.371428571.],13218,175,2,cpu
11837,[0.485714286.],8823,59,2,disk
16414,[0.485714286.],11434,168,2,cpu
4603,[0.485714286.],3231,8,2,disk
13471,[0.485714286.],9169,37,2,disk
