Token Number,Rates,length,index_in_dataset,occurrence_number
0,[],2654,50,2
11844,[0.371428571.],8082,196,2
0,[],3135,58,2
0,[],1162,48,2
10481,[0.371428571.],7008,88,2
15915,[0.485714286.],10825,21,2
0,[],1415,57,2
16371,[0.485714286.],11057,160,2
8062,[0.371428571.],5492,192,2
0,[],1322,129,2
14733,[0.371428571.],9918,37,2
12226,[0.371428571.],8341,157,2
8756,[0.371428571.],6053,193,2
0,[],1794,1,2
14043,[0.371428571.],9449,52,2
13413,[0.371428571.],9216,149,2
0,[],2343,130,2
10636,[0.371428571.],7157,151,2
0,[],2161,103,2
10364,[0.371428571.],7127,99,2
0,[],2292,116,2
0,[],2045,87,2
9792,[0.371428571.],6733,74,2
5207,[0.371428571.],3477,121,2
15811,[0.485714286.],10784,199,2
16267,[0.485714286.],11154,20,2
5060,[0.371428571.],3429,188,2
9053,[0.371428571.],6099,71,2
5312,[0.371428571.],3539,106,2
11101,[0.371428571.],7565,14,2
14141,[0.371428571.],9637,92,2
0,[],3022,179,2
10121,[0.371428571.],6846,102,2
