Token Number,Rates,length,index_in_dataset,occurrence_number
11618,[0.371428571.],7689,8,4
16525,[0.485714286.],11138,56,6
0,[],3741,190,5
16175,[0.485714286.],10898,178,5
9357,[0.371428571.],6376,91,4
0,[],3446,124,3
10551,[0.485714286.],7165,55,4
14733,[0.485714286.],9918,37,3
0,[],9637,92,1
0,[],7481,70,2
17239,[0.485714286.],11695,117,3
0,[],6750,15,3
0,[],1198,194,4
16708,[0.485714286.],11366,197,7
0,[],3380,139,6
0,[],5587,107,2
14556,[0.371428571.],9694,61,2
11771,[0.371428571.],7949,162,4
0,[],1652,137,2
6487,[0.728571429.],4381,31,6
11382,[0.371428571.],7807,182,3
14415,[0.371428571.],9891,164,3
0,[],3741,190,6
10590,[0.485714286.],7136,145,6
16049,[0.485714286.],11070,123,3
0,[],4173,83,3
15049,[0.371428571.],10326,186,2
15001,[0.485714286.],10231,173,4
11618,[0.371428571.],7689,8,5
14296,[0.485714286.],9574,5,4
0,[],6733,74,7
11771,[0.371428571.],7949,162,5
16708,[0.485714286.],11366,197,8
0,[],12184,29,1
6468,[0.485714286.],4339,119,3
0,[],3237,75,1
8756,[0.728571429.],6053,193,7
0,[],3617,168,2
5488,[0.728571429.],3617,168,3
11739,[0.371428571.],7781,94,4
0,[],4173,83,4
0,[],2483,54,3
0,[],6582,11,4
15001,[0.485714286.],10231,173,5
11771,[0.371428571.],7949,162,6
0,[],10784,199,1
15811,[0.371428571.],10784,199,2
12735,[0.371428571.],8726,111,3
10503,[0.728571429.],7046,154,6
12400,[0.371428571.],8435,189,4
14586,[0.485714286.],9980,170,3
11672,[0.371428571.],7924,49,4
0,[],1703,90,1
0,[],3276,25,2
0,[],3741,190,7
5207,[0.728571429.],3477,121,4
11632,[0.485714286.],7843,45,4
0,[],6422,134,3
0,[],3446,124,4
9053,[0.485714286.],6099,71,5
0,[],2223,22,4
0,[],6422,134,4
0,[],2017,104,5
10503,[0.728571429.],7046,154,7
3038,[1],2017,104,6
14586,[0.485714286.],9980,170,4
0,[],3916,110,4
0,[],5696,112,2
0,[],2808,175,4
0,[],4927,80,1
0,[],6884,26,1
14296,[0.485714286.],9574,5,5
0,[],7157,151,3
0,[],3446,124,5
14713,[0.485714286.],10032,141,4
0,[],4847,42,2
0,[],6884,26,2
13128,[0.371428571.],8984,2,5
0,[],7481,70,3
7586,[0.485714286.],5133,118,4
0,[],5571,78,1
0,[],2045,87,3
4229,[0.728571429.],2757,181,6
0,[],936,69,3
0,[],2161,103,5
0,[],8341,157,1
15410,[0.371428571.],10434,79,2
0,[],3446,124,6
10759,[0.485714286.],7209,172,3
0,[],3741,190,8
9536,[0.485714286.],6465,28,4
11810,[0.485714286.],7941,185,3
0,[],7127,99,3
14920,[0.485714286.],10130,51,3
14141,[0.371428571.],9637,92,2
0,[],9352,195,1
0,[],7127,99,4
13907,[0.371428571.],9352,65,3
15755,[0.485714286.],10618,126,9
0,[],1162,48,4
11101,[0.485714286.],7565,14,5
0,[],3276,25,3
14003,[0.371428571.],9481,24,2
18085,[0.371428571.],12184,29,2
13713,[0.485714286.],9214,27,4
0,[],3082,128,6
14607,[0.371428571.],9804,35,3
0,[],936,69,4
4468,[0.728571429.],3022,179,7
0,[],12252,95,1
0,[],8528,133,1
0,[],9366,33,2
14733,[0.485714286.],9918,37,4
11618,[0.371428571.],7689,8,6
