Token Number,Rates,length,index_in_dataset,occurrence_number,device,ttft,ROUGEL
3320,[0.728571429.],2227,86,2,disk,0.3244650422966949,0.96
3249,[0.728571429.],2045,87,2,disk,0.3175132512719499,0.8214285714285714
10481,[0.728571429.],7008,88,2,disk,1.0256168102994991,1.0
12117,[0.728571429.],8345,89,2,disk,1.1858017415175675,0.9859154929577464
2660,[0.728571429.],1703,90,2,disk,0.2598427595314595,0.7384615384615384
9357,[0.728571429.],6376,91,2,disk,0.9155631044993103,0.7692307692307693
14141,[0.728571429.],9637,92,2,disk,1.3839767419976228,0.9047619047619048
9245,[0.728571429.],6247,93,2,disk,0.9045968989391492,1.0
11739,[0.728571429.],7781,94,2,disk,1.1487907977520235,0.9565217391304348
17926,[0.728571429.],12252,95,2,disk,1.7545757424012836,0.9655172413793104
5927,[0.728571429.],3917,96,2,disk,0.5797230592193748,1.0
15082,[0.728571429.],10251,97,2,disk,1.4761124512129054,0.36
2502,[0.728571429.],1734,98,2,disk,0.24437257668766074,0.5357142857142857
10364,[0.728571429.],7127,99,2,disk,1.0141610419911165,0.4324324324324324
12952,[0.728571429.],8851,100,2,disk,1.2675587204705547,0.4424778761061947
11724,[0.728571429.],7940,101,2,disk,1.1473221095073591,0.304
10121,[0.728571429.],6846,102,2,disk,0.9903682924275526,0.4782608695652173
3237,[0.728571429.],2161,103,2,disk,0.3163383006762183,0.840909090909091
3038,[0.728571429.],2017,104,2,disk,0.2968537032970034,0.7457627118644068
9349,[0.728571429.],6247,105,2,disk,0.914779804102156,0.5128205128205129
5312,[0.728571429.],3539,106,2,disk,0.5195068411881327,0.7659574468085107
8214,[0.728571429.],5587,107,2,disk,0.8036490602558799,0.4615384615384615
7918,[0.728571429.],5308,108,2,disk,0.7746669455611683,0.4615384615384615
7003,[0.728571429.],4694,109,2,disk,0.6850769626366374,0.9285714285714286
5753,[0.728571429.],3916,110,2,disk,0.5626862755812672,0.4393939393939394
12735,[0.728571429.],8726,111,2,disk,1.2463116971977426,0.6666666666666666
8501,[0.728571429.],5696,112,2,disk,0.8317499620037929,1.0
5960,[0.728571429.],3928,113,2,disk,0.5829541733576366,0.8947368421052632
6222,[0.728571429.],4162,114,2,disk,0.6086072613644421,0.6190476190476191
3369,[0.728571429.],2148,115,2,disk,0.32926275722926546,0.28125
3385,[0.728571429.],2292,116,2,disk,0.33082935802357416,0.5970149253731344
17239,[0.728571429.],11695,117,2,disk,1.6873098207956523,0.7297297297297296
7586,[0.728571429.],5133,118,2,disk,0.742159979079262,0.5185185185185186
6468,[0.728571429.],4339,119,2,disk,0.6326937485769389,0.6913580246913581
7146,[0.728571429.],4873,120,2,disk,0.6990784572357717,0.6666666666666666
5207,[0.728571429.],3477,121,2,disk,0.5092260234754816,0.7128712871287128
10654,[0.728571429.],7230,122,2,disk,1.0425556813879624,0.6136363636363638
16049,[0.728571429.],11070,123,2,disk,1.5707938867189397,0.8421052631578948
4991,[0.728571429.],3446,124,2,disk,0.4880769127523137,0.5172413793103449
5839,[0.728571429.],3931,125,2,disk,0.5711067548506767,0.6
15755,[0.728571429.],10618,126,2,disk,1.5420075971235165,1.0
14227,[0.728571429.],9769,127,2,disk,1.3923972212670324,0.5660377358490566
4549,[0.728571429.],3082,128,2,disk,0.4447995658095348,0.2898550724637681
2054,[0.728571429.],1322,129,2,disk,0.20050775444701607,0.3376623376623376
3494,[0.728571429.],2343,130,2,disk,0.34150182593480244,0.888888888888889
9414,[0.728571429.],6253,131,2,disk,0.9211441198290352,0.5063291139240506
13752,[0.728571429.],9070,132,2,disk,1.3458887601859917,0.7169811320754716
12562,[0.728571429.],8528,133,2,disk,1.2293728261092793,0.3846153846153846
9666,[0.728571429.],6422,134,2,disk,0.9458180823393979,0.2903225806451613
14028,[0.728571429.],9570,135,2,disk,1.3729126238878175,0.6415094339622641
2978,[0.728571429.],2027,136,2,disk,0.29097895031834564,0.5783132530120482
2523,[0.728571429.],1652,137,2,disk,0.24642874023019093,0.7586206896551725
5288,[0.728571429.],3425,138,2,disk,0.5171569399966696,0.5714285714285714
5131,[0.728571429.],3380,139,2,disk,0.501784669702515,0.9545454545454546
16668,[0.728571429.],11317,140,2,disk,1.631401754948759,0.9411764705882352
14713,[0.728571429.],10032,141,2,disk,1.4399827203941602,0.4814814814814815
4956,[0.728571429.],3375,142,2,disk,0.48464997351476335,0.64
5800,[0.728571429.],3878,143,2,disk,0.5672881654145491,1.0
10429,[0.728571429.],6914,144,2,disk,1.0205253577179958,0.5161290322580644
10590,[0.728571429.],7136,145,2,disk,1.0362892782107274,0.7894736842105263
9827,[0.728571429.],6607,146,2,disk,0.9615820028321295,0.8070175438596492
10430,[0.728571429.],7032,147,2,disk,1.02062327026764,0.732394366197183
17041,[0.728571429.],11799,148,2,disk,1.6679231359660815,0.8
13413,[0.728571429.],9216,149,2,disk,1.3126964058565753,0.8695652173913043
2752,[0.728571429.],1820,150,2,disk,0.26885071409873473,0.6000000000000001
10636,[0.728571429.],7157,151,2,disk,1.040793255494365,0.923076923076923
13474,[0.728571429.],9076,152,2,disk,1.3186690713848774,0.6666666666666666
9393,[0.728571429.],6275,153,2,disk,0.9190879562865051,0.55
10503,[0.728571429.],7046,154,2,disk,1.0277708863916737,1.0
2942,[0.728571429.],1909,155,2,disk,0.287454098531151,0.9333333333333332
13265,[0.728571429.],8932,156,2,disk,1.2982053485092193,0.878048780487805
12226,[0.728571429.],8341,157,2,disk,1.196474209428796,0.5098039215686274
7515,[0.728571429.],5004,158,2,disk,0.735208188054517,0.5263157894736842
4276,[0.728571429.],2904,159,2,disk,0.418069439756642,0.5714285714285715
16371,[0.728571429.],11057,160,2,disk,1.602321727704403,0.8400000000000001
5550,[0.728571429.],3760,161,2,disk,0.5428100280034751,0.5631067961165048
11771,[0.728571429.],7949,162,2,disk,1.151923999340641,0.6593406593406594
7923,[0.728571429.],5382,163,2,disk,0.7751565083093898,1.0
14415,[0.728571429.],9891,164,2,disk,1.41080478060016,0.4347826086956521
3029,[0.728571429.],1918,165,2,disk,0.2959724903502048,0.8695652173913043
15565,[0.728571429.],10497,166,2,disk,1.5234042126911005,0.8076923076923077
11263,[0.728571429.],7511,167,2,disk,1.1021844241213388,1.0
5488,[0.728571429.],3617,168,2,disk,0.5367394499255288,0.6521739130434783
10166,[0.728571429.],6911,169,2,disk,0.9947743571615458,0.4565217391304348
14586,[0.728571429.],9980,170,2,disk,1.4275478265893347,0.4770642201834862
3003,[0.728571429.],1985,171,2,disk,0.29342676405945306,0.3214285714285714
10759,[0.728571429.],7209,172,2,disk,1.0528364991006134,0.761904761904762
15001,[0.728571429.],10231,173,2,disk,1.4681815346917175,0.8333333333333334
6077,[0.728571429.],4187,174,2,disk,0.5944099416660191,0.4130434782608695
4212,[0.728571429.],2808,175,2,disk,0.41180303657940703,0.4358974358974359
12946,[0.728571429.],8885,176,2,disk,1.2669712451726889,0.5333333333333333
5338,[0.728571429.],3613,177,2,disk,0.5220525674788844,0.3846153846153846
16175,[0.728571429.],10898,178,2,disk,1.583130867974121,0.6153846153846154
4468,[0.728571429.],3022,179,2,disk,0.43686864928834684,0.5306122448979591
14723,[0.728571429.],10071,180,2,disk,1.440961845890603,0.9135802469135804
4229,[0.728571429.],2757,181,2,disk,0.41346754992336004,0.8181818181818182
11382,[0.728571429.],7807,182,2,disk,1.1138360175290098,0.9508196721311476
6043,[0.728571429.],3938,183,2,disk,0.5910809149781131,0.7586206896551724
4130,[0.728571429.],2858,184,2,disk,0.4037742075085748,0.5128205128205128
11810,[0.728571429.],7941,185,2,disk,1.1557425887767687,0.21875
15049,[0.728571429.],10326,186,2,disk,1.4728813370746436,0.7755102040816326
8606,[0.728571429.],5775,187,2,disk,0.842030779716444,0.3428571428571429
5060,[0.728571429.],3429,188,2,disk,0.49483287867777015,0.5
12400,[0.728571429.],8435,189,2,disk,1.2135109930669032,0.8
5597,[0.728571429.],3741,190,2,disk,0.547411917836757,0.5744680851063829
14436,[0.728571429.],9825,191,2,disk,1.41286094414269,0.5625
8062,[0.728571429.],5492,192,2,disk,0.7887663527099469,0.9
8756,[0.728571429.],6053,193,2,disk,0.8567176621630883,0.631578947368421
1841,[0.728571429.],1198,194,2,disk,0.179652381372781,0.5882352941176471
13823,[0.728571429.],9352,195,2,disk,1.3528405512107367,0.5945945945945946
11844,[0.728571429.],8082,196,2,disk,1.1590716154646745,1.0
16708,[0.728571429.],11366,197,2,disk,1.6353182569345308,1.0
8313,[0.728571429.],5523,198,2,disk,0.8133424026706653,0.4693877551020408
15811,[0.728571429.],10784,199,2,disk,1.5474906999035973,0.5217391304347827
