Token Number,Rates,length,index_in_dataset,occurrence_number,device
5060,[0.371428571.],3429,188,2,disk
16194,[0.371428571.],12329,31,2,disk
13474,[0.371428571.],9076,152,2,disk
0,[],6397,83,1,
12781,[0.371428571.],10205,141,2,disk
1841,[0.371428571.],1198,194,2,disk
13713,[0.371428571.],9214,27,2,disk
30047,[0.371428571.],23789,70,2,disk
0,[],8435,189,1,
13065,[0.371428571.],10507,73,2,disk
0,[],12803,107,1,
13066,[0.371428571.],10512,78,2,disk
8289,[0.371428571.],6031,75,2,disk
0,[],7924,49,1,
0,[],23788,133,1,
0,[],3917,96,1,
18470,[0.371428571.],14011,140,2,disk
0,[],8314,44,1,
0,[],9182,184,1,
0,[],1703,90,1,
0,[],3239,44,1,
2506,[0.371428571.],1644,46,2,disk
17799,[0.371428571.],13887,45,2,disk
15397,[0.371428571.],11304,63,2,disk
18473,[0.371428571.],14014,180,2,disk
0,[],7511,167,1,
13407,[0.371428571.],8560,116,2,disk
0,[],6955,85,1,
26201,[0.371428571.],19656,30,2,disk
0,[],5989,65,1,
14028,[0.371428571.],9570,135,2,disk
9366,[0.371428571.],6398,181,2,disk
6222,[0.371428571.],4162,114,2,disk
13054,[0.371428571.],9377,176,2,disk
12117,[0.371428571.],8345,89,2,disk
13910,[0.371428571.],9366,33,2,disk
13062,[0.371428571.],10506,90,2,disk
0,[],4847,42,1,
11739,[0.371428571.],7781,94,2,disk
13128,[0.371428571.],8984,2,2,disk
0,[],24585,186,1,
4081,[0.371428571.],2654,50,2,disk
6678,[0.371428571.],4809,5,2,disk
15639,[0.371428571.],12644,118,2,disk
8172,[0.371428571.],5990,101,2,disk
0,[],4757,159,1,
0,[],7881,35,1,
0,[],12333,12,1,
0,[],12797,28,1,
6024,[0.371428571.],4758,108,2,disk
0,[],8986,170,1,
0,[],11172,142,1,
11310,[0.371428571.],8183,110,2,disk
11724,[0.371428571.],7940,101,2,disk
0,[],5133,118,1,
15343,[0.371428571.],10667,3,2,disk
0,[],2110,72,1,
7335,[0.371428571.],4912,47,2,disk
0,[],10825,21,1,
9349,[0.371428571.],6247,105,2,disk
14723,[0.371428571.],10071,180,2,disk
10166,[0.371428571.],6911,169,2,disk
18472,[0.371428571.],14015,7,2,disk
