index,dataset,method
22,repobench-p_e,kivi
150,repobench-p_e,kivi
10,repobench-p_e,kivi
44,repobench-p_e,kivi
49,lcc_e,kivi
25,lcc_e,kivi
142,repobench-p_e,kivi
220,lcc_e,kivi
183,repobench-p_e,kivi
240,repobench-p_e,kivi
42,lcc_e,kivi
261,lcc_e,streaming
116,repobench-p_e,kivi
108,repobench-p_e,kivi
277,lcc_e,streaming
269,repobench-p_e,kivi
81,repobench-p_e,kivi
111,repobench-p_e,kivi
154,lcc_e,kivi
126,lcc_e,kivi
9,repobench-p_e,kivi
219,repobench-p_e,kivi
145,repobench-p_e,kivi
174,lcc_e,kivi
31,lcc_e,kivi
113,lcc_e,kivi
257,repobench-p_e,kivi
23,lcc_e,kivi
173,lcc_e,kivi
66,lcc_e,kivi
57,lcc_e,kivi
222,lcc_e,kivi
21,repobench-p_e,kivi
17,lcc_e,kivi
299,lcc_e,kivi
5,repobench-p_e,kivi
255,lcc_e,kivi
273,repobench-p_e,kivi
190,lcc_e,kivi
18,repobench-p_e,kivi
227,repobench-p_e,kivi
271,lcc_e,kivi
180,lcc_e,kivi
94,lcc_e,kivi
31,repobench-p_e,kivi
28,repobench-p_e,kivi
11,repobench-p_e,kivi
5,lcc_e,kivi
98,repobench-p_e,kivi
45,lcc_e,kivi
276,repobench-p_e,kivi
168,repobench-p_e,kivi
16,lcc_e,kivi
279,repobench-p_e,kivi
48,lcc_e,kivi
187,repobench-p_e,kivi
62,repobench-p_e,kivi
138,repobench-p_e,kivi
3,lcc_e,kivi
186,repobench-p_e,kivi
133,repobench-p_e,kivi
2,repobench-p_e,kivi
225,lcc_e,kivi
26,lcc_e,kivi
124,repobench-p_e,kivi
263,lcc_e,kivi
229,lcc_e,kivi
50,lcc_e,kivi
214,repobench-p_e,kivi
37,lcc_e,kivi
175,lcc_e,kivi
237,lcc_e,kivi
274,repobench-p_e,kivi
157,lcc_e,kivi
57,repobench-p_e,kivi
