Token Number,Rates,length,index_in_dataset,occurrence_number,device
5628,[1.],3980,174,3,disk
4725,[1.],3237,75,3,disk
7038,[1.],4803,23,2,disk
10008,[1.],6790,67,2,disk
13474,[1.],9076,152,3,disk
0,[],6749,4,1,
10150,[1.],6961,38,2,disk
2506,[1.],1644,46,3,disk
8313,[1.],5523,198,2,disk
0,[],4807,158,1,
0,[],3236,56,1,
14141,[1.],9637,92,2,disk
5488,[1.],3617,168,2,disk
9364,[1.],6395,48,3,disk
11382,[1.],7807,182,2,disk
8266,[1.],5571,78,3,disk
10277,[1.],7882,23,3,disk
30489,[1.],24580,27,3,disk
0,[],8851,100,1,
6487,[1.],4381,31,3,disk
9827,[1.],6607,146,2,disk
12581,[1.],9188,46,3,disk
12946,[1.],8885,176,3,disk
0,[],6030,26,1,
0,[],10205,141,1,
16668,[1.],11317,140,3,disk
10759,[1.],7209,172,3,disk
0,[],1985,171,1,
0,[],10674,13,1,
6608,[1.],4428,82,3,disk
11317,[1.],8191,154,2,disk
10143,[1.],6952,114,3,disk
7918,[1.],5308,108,3,disk
15082,[1.],10251,97,2,disk
0,[],1734,98,1,
15716,[1.],11178,169,3,disk
16049,[1.],11070,123,2,disk
8288,[1.],6029,120,3,disk
0,[],11887,15,1,
25467,[1.],20271,89,3,disk
11724,[1.],7940,101,3,disk
2517,[1.],1691,66,3,disk
16636,[1.],11240,7,3,disk
25470,[1.],20273,87,2,disk
6673,[1.],4802,187,3,disk
5800,[1.],3878,143,2,disk
5627,[1.],3979,8,2,disk
7923,[1.],5382,163,2,disk
0,[],9694,61,1,
10429,[1.],6914,144,2,disk
13047,[1.],9368,22,2,disk
0,[],4686,32,1,
0,[],4912,47,1,
16203,[1.],12339,171,2,disk
0,[],5977,67,1,
15346,[1.],10673,138,3,disk
4991,[1.],3446,124,3,disk
7586,[1.],5133,118,3,disk
6674,[1.],4805,177,2,disk
15343,[1.],10667,3,2,disk
11319,[1.],8194,124,2,disk
0,[],4751,156,1,
9366,[1.],6397,83,2,disk
13065,[1.],10510,33,3,disk
14733,[1.],9918,37,2,disk
0,[],7341,0,1,
0,[],9214,27,1,
10148,[1.],6956,188,3,disk
12174,[1.],8984,117,2,disk
5633,[1.],3984,152,3,disk
14296,[1.],9574,5,3,disk
3320,[1.],2227,86,2,disk
0,[],7949,162,1,
0,[],13868,88,1,
11319,[1.],8192,173,3,disk
0,[],7342,60,1,
0,[],19656,30,1,
0,[],13881,112,1,
18473,[1.],14014,180,3,disk
15338,[1.],10663,99,2,disk
14723,[1.],10071,180,3,disk
2660,[1.],1703,90,3,disk
26199,[1.],19654,77,2,disk
0,[],8986,170,1,
8511,[1.],5874,63,3,disk
0,[],3425,138,1,
4468,[1.],3022,179,2,disk
15641,[1.],12646,4,2,disk
0,[],4187,62,1,
8501,[1.],5696,112,2,disk
25467,[1.],20271,155,3,disk
8433,[1.],5623,3,3,disk
0,[],9570,135,1,
0,[],7689,8,1,
0,[],3082,128,1,
10064,[1.],7338,11,2,disk
18645,[1.],15408,125,2,disk
8175,[1.],5993,74,3,disk
11263,[1.],7511,167,3,disk
13823,[1.],9352,195,2,disk
0,[],6954,100,1,
12588,[1.],9196,168,2,disk
0,[],9123,64,1,
5839,[1.],3931,125,2,disk
10503,[1.],7046,154,2,disk
18470,[1.],14011,140,2,disk
0,[],7565,14,1,
1497,[1.],936,69,2,disk
0,[],8932,156,1,
0,[],20272,123,1,
6043,[1.],3938,183,2,disk
0,[],24579,166,1,
0,[],3209,40,1,
0,[],3916,110,3,
6031,[1.],4765,102,2,disk
13412,[1.],8565,92,3,disk
16209,[1.],12340,39,3,disk
4828,[1.],3170,19,3,disk
0,[],5336,16,1,
0,[],13869,136,2,
0,[],7870,134,2,
13066,[1.],10509,82,2,disk
0,[],15412,79,1,
4571,[1.],3141,16,3,disk
0,[],20281,146,1,
0,[],8423,38,2,
0,[],7941,185,2,
10956,[1.],8488,47,3,disk
0,[],6582,11,2,
0,[],8489,36,1,
9393,[1.],6275,153,3,disk
25477,[1.],20279,81,3,disk
0,[],14015,7,1,
0,[],13883,95,1,
3224,[1.],2154,17,3,disk
0,[],12785,20,3,
0,[],12333,12,1,
0,[],3229,164,1,
0,[],1322,129,2,
0,[],10510,51,1,
7003,[1.],4694,109,3,disk
0,[],3234,190,1,
0,[],4807,165,1,
14415,[1.],9891,164,2,disk
16708,[1.],11366,197,2,disk
0,[],11310,103,1,
0,[],14016,127,2,
0,[],13870,69,1,
0,[],7881,1,1,
7146,[1.],4873,120,2,disk
10307,[1.],6884,26,2,disk
9414,[1.],6253,131,3,disk
0,[],12328,50,3,
15900,[1.],11886,97,3,disk
0,[],3760,161,1,
9792,[1.],6733,74,2,disk
10590,[1.],7136,145,3,disk
0,[],3741,190,1,
10959,[1.],8491,147,3,disk
0,[],12802,17,1,
0,[],9182,184,2,
0,[],10366,43,1,
0,[],14016,109,1,
0,[],2027,136,2,
0,[],2808,175,3,
0,[],5340,59,1,
2523,[1.],1652,137,3,disk
0,[],9666,18,3,
8214,[1.],5587,107,2,disk
0,[],6247,105,1,
12562,[1.],8528,133,2,disk
0,[],6954,162,2,
0,[],8653,53,1,
10146,[1.],6955,85,3,disk
0,[],5985,149,3,
0,[],11695,117,2,
0,[],5341,132,3,
0,[],1794,1,1,
13405,[1.],8556,150,2,disk
0,[],2448,60,3,
18473,[1.],14016,157,2,disk
0,[],7924,49,1,
0,[],6394,53,2,
0,[],4927,80,1,
6231,[1.],4173,83,2,disk
0,[],10784,199,2,
15410,[1.],10434,79,3,disk
8285,[1.],6026,96,2,disk
0,[],5990,101,3,
0,[],4809,5,1,
0,[],1404,34,1,
0,[],11304,63,1,
10067,[1.],7341,49,2,disk
0,[],2148,115,2,
16210,[1.],12339,178,2,disk
0,[],9381,24,2,
0,[],9193,139,1,
0,[],6376,91,1,
0,[],9449,52,1,
10149,[1.],6960,58,3,disk
0,[],19654,145,1,
0,[],23789,64,1,
0,[],24585,186,3,
0,[],9366,111,3,
0,[],10208,122,2,
4130,[1.],2858,184,2,disk
6020,[1.],4754,86,3,disk
0,[],10200,41,1,
10958,[1.],8486,105,3,disk
14003,[1.],9481,24,3,disk
13062,[1.],10506,90,2,disk
0,[],20275,189,2,
0,[],12342,34,2,
0,[],8984,2,2,
0,[],8785,13,1,
13075,[1.],10516,84,3,disk
0,[],20271,160,2,
0,[],10507,73,1,
0,[],12646,115,1,
0,[],12786,37,2,
0,[],6037,192,2,
0,[],7008,88,1,
0,[],12184,29,2,
0,[],9769,127,2,
10065,[1.],7337,29,3,disk
0,[],3380,139,3,
0,[],3613,177,3,
0,[],3239,44,2,
0,[],10497,166,1,
0,[],6032,128,1,
5624,[1.],3974,91,3,disk
0,[],6031,75,3,
0,[],11172,193,1,
0,[],8341,157,3,
6678,[1.],4809,163,3,disk
0,[],13887,45,3,
0,[],6422,134,1,
2942,[1.],1909,155,3,disk
0,[],10499,106,1,
17016,[1.],12803,107,3,disk
9536,[1.],6465,28,2,disk
0,[],11176,151,3,
11310,[1.],8183,110,2,disk
0,[],7346,183,1,
0,[],8314,44,2,
0,[],10665,179,2,
0,[],10777,59,3,
0,[],23785,119,1,
0,[],11169,43,1,
0,[],2483,54,1,
0,[],4339,119,3,
14586,[1.],9980,170,2,disk
0,[],9352,65,2,
0,[],2654,50,1,
15406,[1.],11315,104,2,disk
17010,[1.],12797,28,3,disk
0,[],3980,167,2,
0,[],8435,189,1,
0,[],4187,174,1,
0,[],8726,111,3,
0,[],2904,159,2,
0,[],6381,197,1,
0,[],23788,133,3,
0,[],1918,165,3,
10008,[1.],6790,67,3,disk
0,[],2519,85,2,
6676,[1.],4807,158,2,disk
13410,[1.],8563,21,2,disk
0,[],8082,196,3,
0,[],5775,187,1,
12789,[1.],10213,175,3,disk
12587,[1.],9196,137,3,disk
5624,[1.],3976,40,2,disk
0,[],13883,18,3,
0,[],8710,36,3,
0,[],9804,35,2,
0,[],5989,65,3,
0,[],6911,169,1,
17926,[1.],12252,95,2,disk
0,[],10326,186,2,
0,[],1789,42,2,
2048,[1.],1820,150,3,disk
0,[],2161,103,3,
0,[],3135,58,1,
0,[],1162,48,1,
0,[],3507,12,2,
0,[],8979,144,1,
12952,[1.],8851,100,2,disk
5279,[1.],3236,56,2,disk
0,[],7881,35,1,
15348,[1.],10675,54,2,disk
13068,[1.],10511,98,2,disk
14920,[1.],10130,51,2,disk
0,[],6608,10,3,
1845,[1.],1220,41,2,disk
6794,[1.],5349,153,3,disk
0,[],6386,52,1,
12117,[1.],8345,89,3,disk
0,[],8563,72,2,
0,[],10825,21,1,
0,[],13883,198,3,
0,[],12644,118,2,
0,[],1198,194,3,
0,[],11299,113,1,
0,[],5492,192,3,
7335,[1.],4912,47,2,disk
5488,[1.],3617,168,3,disk
0,[],11405,81,3,
0,[],3375,142,2,
0,[],8560,116,3,
11317,[1.],8191,154,3,disk
15082,[1.],10251,97,3,disk
0,[],8984,76,1,
0,[],11057,160,1,
0,[],10490,93,1,
0,[],9825,191,1,
0,[],11881,143,1,
18644,[1.],15409,6,2,disk
0,[],11372,6,3,
0,[],10199,57,1,
0,[],9216,149,1,
0,[],4758,108,1,
15903,[1.],11887,15,2,disk
7923,[1.],5382,163,3,disk
0,[],10898,178,2,
0,[],6236,68,3,
0,[],6961,38,3,
25470,[1.],20273,87,3,disk
0,[],2343,130,1,
0,[],3917,96,3,
13713,[1.],9214,27,2,disk
0,[],7157,151,1,
0,[],4757,126,3,
17792,[1.],13881,112,2,disk
14028,[1.],9570,135,2,disk
0,[],4757,159,1,
6161,[1.],4187,62,2,disk
10145,[1.],6954,100,2,disk
10068,[1.],7342,60,2,disk
0,[],20282,172,1,
0,[],7127,99,1,
3003,[1.],1985,171,2,disk
0,[],7230,122,3,
14556,[1.],9694,61,2,disk
0,[],2045,87,1,
16049,[1.],11070,123,3,disk
12781,[1.],10205,141,2,disk
0,[],9197,130,1,
15338,[1.],10663,99,3,disk
8287,[1.],6030,26,2,disk
0,[],6957,14,1,
9366,[1.],6397,83,3,disk
0,[],9637,92,3,
0,[],5523,198,3,
0,[],3477,121,1,
5800,[1.],3878,143,3,disk
0,[],4803,23,3,
11319,[1.],8194,124,3,disk
0,[],6036,199,1,
0,[],3242,131,2,
13265,[1.],8932,156,2,disk
10069,[1.],7341,0,2,disk
15343,[1.],10667,3,3,disk
0,[],19653,19,3,
0,[],10674,13,2,
6674,[1.],4805,177,3,disk
4549,[1.],3082,128,2,disk
0,[],6749,4,2,
10429,[1.],6914,144,3,disk
0,[],11154,20,1,
0,[],7032,147,3,
14733,[1.],9918,37,3,disk
0,[],3429,188,1,
10064,[1.],7338,11,3,disk
0,[],7807,182,3,
11618,[1.],7689,8,2,disk
8161,[1.],5977,67,2,disk
4806,[1.],3209,40,2,disk
0,[],3539,106,1,
6877,[1.],4686,32,2,disk
0,[],6099,71,1,
11101,[1.],7565,14,2,disk
13165,[1.],9123,64,2,disk
11771,[1.],7949,162,2,disk
30488,[1.],24579,166,2,disk
10957,[1.],8489,36,2,disk
5627,[1.],3979,8,3,disk
10267,[1.],7870,134,3,disk
18470,[1.],14011,140,3,disk
26201,[1.],19656,30,2,disk
17781,[1.],13868,88,2,disk
26199,[1.],19654,77,3,disk
0,[],6846,102,1,
0,[],12805,148,1,
0,[],23789,70,1,
